HSCode,Commodity,Year_2022_2023,Share_Percentage_22_23,Year_2023_2024,Share_Percentage_23_24
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.","3,299,723.86",0.9117,"272,899.54",0.9385
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.","2,453,055.10",0.6778,"209,428.17",0.7202
34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.","824,175.19",0.2277,"65,487.67",0.2252
35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,"313,070.98",0.0865,"27,339.67",0.094
36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,"229,095.75",0.0633,"20,678.10",0.0711
37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,"12,475.88",0.0034,804.8,0.0028
38,MISCELLANEOUS CHEMICAL PRODUCTS.,"5,445,453.35",1.5046,"429,934.07",1.4786
39,PLASTIC AND ARTICLES THEREOF.,"6,111,704.65",1.6886,"509,623.08",1.7526
40,RUBBER AND ARTICLES THEREOF.,"3,789,020.84",1.0469,"325,654.50",1.12
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,"371,486.73",0.1026,"33,172.87",0.1141
42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.","2,025,611.79",0.5597,"153,810.23",0.529
43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.","9,819.18",0.0027,553.78,0.0019
44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,"513,981.78",0.142,"37,961.10",0.1306
45,CORK AND ARTICLES OF CORK.,"4,379.51",0.0012,305.48,0.0011
46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.","56,946.52",0.0157,"4,363.87",0.015
47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,"7,358.35",0.002,674.59,0.0023
48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.","2,172,777.53",0.6003,"171,757.63",0.5907
49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.","356,082.67",0.0984,"34,012.45",0.117
50,SILK,"102,735.53",0.0284,"11,177.69",0.0384
