HSCode,Commodity,Year_2022_2023,Share_Percentage_22_23,Year_2023_2024,Share_Percentage_23_24
310490,OTHER MINERLS OF CHEMCL FRTLISRS POTSSIC,316.15,0.0001,2.77,0
310510,GOODS OF THIS CHPTER IN TBLETS/SMLR FORMS/IN PACKGS OF A GROSS WT NOT EXCEEDNG 10 KG,305.92,0.0001,302.23,0.001
310520,MINRL/CHEMCL FERTLSRS CONTNG THE THREE FRTLSNG ELMNTS NITROGN PHOSPHRS AND POTASIUM,"11,580.90",0.0032,156.1,0.0005
310530,DIAMONM HYDRGNORTHPHOSPHT(DIAMONM PHOSPHT),"15,556.78",0.0043,649.61,0.0022
310540,AMONM DIHYDROGNORTHOPHOSPHT(MONOAMMONIUM PHOSPHT)/MXTRS THEREOF WITH DIAMMONIUM HYDROGNORTHOPHOSPHT(DIAMMONIUM PHOSP,564.73,0.0002,22.12,0.0001
310551,MNRL/CHMCL FERTLSRS CONTNG NITRTS/PHOSPHTS,48.51,0,2.89,0
310559,OTHR MINRL/CHCML FERTLSRS CONTNG TWO FER-LSNG ELEMNTS NITROGEN AND PHOSPHORUS,4.76,0,0,0
310560,MINRL OR CHMCL FERTLSRS CONTNG THE TWO FERTLSNG ELMNTS PHOSPHORUS AND POTASSIUM,156.73,0,0,0
310590,OTHER MINRL/CHEMCL FERTLSRS,"6,083.45",0.0017,461.75,0.0016
31,FERTILISERS.,"107,737.69",0.0298,"8,634.18",0.0297
80111,COCONUT DESICCATED,6191.01,0.0017,3604.77,0.001
80112,COCONUT IN THE INNER SHELL (ENDOCARP):,10792.3,0.003,17901.21,0.0049
80119,OTHER COCONUTS,28515.11,0.0079,52832.88,0.0146
80121,BRAZIL NUTS FRSH/DRED IN SHELL,6.7,0,18.44,0
80122,BRAZIL NUTS FRSH/DRED SHELLED,5.16,0,3.96,0
80131,CASHEN NUTS FRESH/DRIED IN SHELL,14283.04,0.0039,17839.01,0.0049
80132,CASHEN NUTS FRESH/DRIED SHELLED,272603.34,0.0753,263041.03,0.0727
80211,ALMONDS FRSH OR DRIEDIN SHELL,365.76,0.0001,847.31,0.0002
80212,SHELLED ALMONDS FRSH OR DRIED,910.39,0.0003,928.22,0.0003
80221,"HAZELNUTS IN SHELL,FRSH OR DRIED",20.82,0,32.3,0
80222,"SHELLED HAZELNUTS, FRSH OR DRIED",64.59,0,15.39,0
80231,WALNUTS FRSH OR DRIED IN SHELL,633.49,0.0002,225.88,0.0001
80232,SHELLED WALNUTS FRSH OR DRIED,1949.77,0.0005,1775.81,0.0005
80241,CHESTNUTS (CASTANEA SPP.): IN SHELL,0.14,0,0.13,0
80242,CHESTNUTS (CASTANEA SPP.): SHELLED,25.05,0,66.76,0
80251,PISTACHIOS: IN SHELL,54.22,0,651.6,0.0002
80252,PISTACHIOS: SHELLED,92.24,0,114.11,0
80261,MACADAMIA NUTS: IN SHELL,,,4.11,0
80262,MACADAMIA NUTS:SHELLED,9.81,0,8.14,0
80270,KOLA NUTS (COLA SPP.),0.01,0,0.35,0
80280,ARECA NUTS:,48504.97,0.0134,40012.72,0.0111
80291,PINE NUTS IN SHELL,0.87,0,28.15,0
80292,PINE NUTS SHELLED,0.02,0,1.6,0
80299,OTHERS,1141.62,0.0003,831.75,0.0002
80310,PLANTAINS: FRSH OR DRIED,652.81,0.0002,829.65,0.0002
80390,BANANAS FRSH OR DRIED,141919.62,0.0392,242247.96,0.0669
80410,DATES FRESH OR DRIED,1824.53,0.0005,2137.05,0.0006
80420,FIGS FRESH OR DRIED,377.99,0.0001,605.96,0.0002
80430,PINEAPPLES FRESH OR DRIED,3516.76,0.001,3957.65,0.0011
80440,AVOCADOS FRESH OR DRIED,50.64,0,30.92,0
80450,"GUAVAS,MANGOES/MANGOSTEENS FRESH OR DRIED",175842.46,0.0486,125611.46,0.0347
80510,ORANGES FRESH OR DRIED,16852.36,0.0047,16936.47,0.0047
80521,MANDARINS (INCLUDING TANGERINES AND SATSUMAS),191.98,0.0001,10.59,0
80529,OTHER WILKINGS AND SIMILAR CITRUS HYBRIDS,365.25,0.0001,262.25,0.0001
80540,GRAPEFRUIT AND POMELOS,38.54,0,5.06,0
80550,LEMONS(CITRUS LIMON CITRUS LIMONUM) AND LIMES(CITRUS AURANTIFOLIA) FRSH OR DRIED,4612.11,0.0013,3715.45,0.001
80590,OTHER CITRUS FRUITS FRESH OR DRIED,510.09,0.0001,1429,0.0004
80610,GRAPES FRESH,254793.39,0.0704,346070.22,0.0956
80620,GRAPES DRIED,28130.6,0.0078,53466.13,0.0148
80711,WATER MELONS,8447.74,0.0023,10741.48,0.003
80719,"MELON , OTHER THAN WATER MELON",2812.36,0.0008,3236.03,0.0009
80720,PAPAWS (PAPAYAS) FRESH,2777.78,0.0008,3105.32,0.0009
80810,APPLES FRSH,16766.87,0.0046,7717.3,0.0021
80830,PEARS- FRESH,277.8,0.0001,360.19,0.0001
80840,QUINCES- FRESH,0.02,0,2.14,0
80910,APRICOTS FRESH,8.54,0,2.65,0
80921,SOUR CHERRIES (PRUNUS CERASUS),0.08,0,0.09,0
80929,OTHER - CHERRIES:,3.85,0,4.19,0
80930,PEACHES INCL NECTARINES FRESH,9.11,0,42.4,0
80940,"PLUMS AND SLOES , FRESH",101.38,0,113.6,0
81010,STRAWBERRIES FRESH,30.94,0,38.72,0
81020,"RASPBERIS,BLACKBRS,MULBRS AND LOGANBRS,FRSH",158.44,0,196.34,0.0001
81030,"BLACK, WHITE OR RED CURRANTS AND GOOSEBERRIES- FRESH",176.43,0,199.86,0.0001
81040,"CRNBERY BILBERS AND OTHR OF GNUS VCINUM,FRSH",154.48,0,708.72,0.0002
81050,KIWI FRUIT,105.16,0,313.65,0.0001
81060,DURIANS,1.91,0,48.87,0
81070,PERSIMMONS- FRESH,13.28,0,9.11,0
81090,OTHER FRESH FRUITS,57471.58,0.0159,69364.43,0.0192
81110,"STRAWBERS,UNCOOKD/COOKD BY STEMNG/BOLNG IN WATER,FRZN,W/N CONTAINING ADDED SUGAR OR WTHER SWEETENING MATTER",671.91,0.0002,689.66,0.0002
81120,"RASPBERS,BLACK BERS,MULBERS,LOGANBERS, BLCK,WHTE,/RED CURRANTS AND GOOSEBRS,FRZN",408.25,0.0001,442.52,0.0001
81190,"OTHER FRUITS AND NUTS,UNCKD/CKD BY STMNG OR BOILING,FRZN,W/N WITH ADDED SUGR/SWTNG MTR",31943.38,0.0088,35051.59,0.0097
81210,CHERRIES PROVSNLY PRSVD,24.11,0,4.59,0
81290,OTHER FRUITS AND NUTS PROVSNLY PRSVD,410.59,0.0001,421.09,0.0001
81310,"APRICOTS, DRIED",211.73,0.0001,334.88,0.0001
81320,PRUNES DRIED,153.37,0,74.79,0
81330,APPLES DRIED,131.52,0,47.57,0
81340,OTHER FRUIT:,24872.86,0.0069,23843.6,0.0066
81350,MIXTURES OF NUTS OR DRIED FRUITS,218.28,0.0001,358.64,0.0001
81400,"PEEL OF CITRS FRUIT/MELNS(INCL WTRMELNS), FRSH,FRZN,DRIED/PROVSNLY PRSVD IN BRINE, INSULPHUR WTR OR IN OTHR PRSVTV SOLN",120.03,0,213.25,0.0001
8,EDIBLE FRUIT AND NUTS,PEEL OR CITRUS FRUIT OR MELONS.,1164333.35,0.3215,1355788.69
